t,derivative
0.000000000000000000e+00,2.327272727272656994e+00
9.775171065493646130e-04,1.030649350649355256e+00
1.955034213098729226e-03,2.260779220779227217e+00
2.932551319648093839e-03,5.020259740259746195e+00
3.910068426197458452e-03,4.488311688311739545e+00
4.887585532746823065e-03,3.790129870129874234e+00
5.865102639296187678e-03,2.593246753246717162e+00
6.842619745845552291e-03,-1.130389610389670452e+00
7.820136852394916904e-03,-3.623896103896072418e+00
8.797653958944280650e-03,-2.393766233766143614e+00
9.775171065493646130e-03,1.662337662337449729e-01
1.075268817204301161e-02,3.956363636363619207e+00
1.173020527859237536e-02,6.117402597402588071e+00
1.270772238514173910e-02,4.288831168831109153e+00
1.368523949169110458e-02,-6.316883116882650029e-01
1.466275659824047006e-02,-4.887272727272659267e+00
1.564027370478983381e-02,-5.286233766233806364e+00
1.661779081133919755e-02,-1.795324675324707187e+00
1.759530791788856130e-02,2.028051948051938780e+00
1.857282502443792851e-02,4.222337662337622533e+00
1.955034213098729226e-02,5.053506493506574770e+00
2.052785923753665601e-02,1.296623376623415425e+00
2.150537634408602322e-02,-8.976623376624388584e-01
2.248289345063538697e-02,9.974025974025835239e-02
2.346041055718475071e-02,1.895064935064908695e+00
2.443792766373411446e-02,3.391168831168840825e+00
2.541544477028347820e-02,9.974025974026972108e-01
2.639296187683284542e-02,-4.089350649350706135e+00
2.737047898338220916e-02,-4.987012987013031307e+00
2.834799608993157291e-02,-1.562597402597361906e+00
2.932551319648094013e-02,3.125194805194780656e+00
3.030303030303030387e-02,6.782337662337681650e+00
3.128054740957966762e-02,6.117402597402644915e+00
3.225806451612903136e-02,4.654545454545484517e+00
3.323558162267839511e-02,6.316883116882650029e-01
3.421309872922775885e-02,-3.657142857142844150e+00
3.519061583577712260e-02,-4.754285714285629183e+00
3.616813294232649328e-02,-3.690389610389672725e+00
3.714565004887585703e-02,-1.263376623376700536e+00
3.812316715542522078e-02,2.560000000000002274e+00
3.910068426197458452e-02,4.288831168831165996e+00
4.007820136852394827e-02,1.496103896103875286e+00
4.105571847507331201e-02,6.316883116883218463e-01
4.203323558162267576e-02,2.127792207792197132e+00
4.301075268817204644e-02,3.989610389610390939e+00
4.398826979472141019e-02,3.557402597402642641e+00
4.496578690127077393e-02,6.316883116882650029e-01
4.594330400782013768e-02,-3.025454545454522304e+00
4.692082111436950143e-02,-5.385974025973951029e+00
4.789833822091886517e-02,-3.756883116883102502e+00
4.887585532746822892e-02,9.974025974026403674e-01
4.985337243401759266e-02,5.618701298701239466e+00
5.083088954056695641e-02,7.812987012986980062e+00
5.180840664711632709e-02,5.518961038961037957e+00
5.278592375366569084e-02,-2.028051948051995623e+00
5.376344086021505458e-02,-4.654545454545427674e+00
5.474095796676441833e-02,-1.462857142857103554e+00
5.571847507331378208e-02,-9.309090909090400601e-01
5.669599217986314582e-02,1.097142857142898720e+00
5.767350928641250957e-02,4.554805194805169322e+00
5.865102639296188025e-02,3.557402597402528954e+00
5.962854349951124400e-02,2.992207792207182138e-01
6.060606060606060774e-02,-1.263376623376643693e+00
6.158357771260997149e-02,-1.329870129870300843e-01
6.256109481915933523e-02,1.163636363636385340e+00
6.353861192570869898e-02,1.629090909090905370e+00
6.451612903225806273e-02,2.626493506493545738e+00
6.549364613880742647e-02,2.327272727273452801e-01
6.647116324535679022e-02,-3.258181818181867584e+00
6.744868035190615396e-02,-5.352727272727236141e+00
6.842619745845551771e-02,-2.094545454545368557e+00
6.940371456500488145e-02,7.414025974025946653e+00
7.038123167155424520e-02,9.475324675324600321e+00
7.135874877810362282e-02,3.490909090909042334e+00
7.233626588465298657e-02,-3.258181818181810740e+00
7.331378299120235031e-02,-5.552207792207752846e+00
7.429130009775171406e-02,-5.685194805194726086e+00
7.526881720430107781e-02,-2.958961038961092527e+00
7.624633431085044155e-02,3.058701298701180349e+00
7.722385141739980530e-02,2.825974025974119286e+00
7.820136852394916904e-02,-1.795324675324593500e+00
7.917888563049853279e-02,-5.884675324675356478e+00
8.015640273704789653e-02,-6.250389610389618156e+00
8.113391984359726028e-02,-3.158441558441609232e+00
8.211143695014662403e-02,-7.314285714285801987e-01
8.308895405669598777e-02,-5.984415584415501144e-01
8.406647116324535152e-02,-8.311688311687817077e-01
8.504398826979471526e-02,-2.859220779220777331e+00
8.602150537634409289e-02,-6.416623376623419972e+00
8.699902248289345663e-02,-5.618701298701296309e+00
8.797653958944282038e-02,2.593246753246717162e+00
8.895405669599218412e-02,9.408831168831227387e+00
8.993157380254154787e-02,6.582857142857164945e+00
9.090909090909091161e-02,-7.314285714286370421e-01
9.188660801564027536e-02,-4.887272727272659267e+00
9.286412512218963911e-02,-4.787532467532457758e+00
9.384164222873900285e-02,-2.726233766233804090e+00
9.481915933528836660e-02,1.230129870129871961e+00
9.579667644183773034e-02,3.125194805194780656e+00
9.677419354838709409e-02,6.117402597402531228e+00
9.775171065493645783e-02,9.043116883116908866e+00
9.872922776148582158e-02,4.953766233766316418e+00
9.970674486803518533e-02,1.396363636363673777e+00
1.006842619745845491e-01,2.692987012987089201e+00
1.016617790811339128e-01,3.956363636363619207e+00
1.026392961876832904e-01,2.992207792207693728e+00
1.036168132942326542e-01,-8.976623376623820150e-01
1.045943304007820179e-01,-6.283636363636276201e+00
1.055718475073313817e-01,-7.746493506493493442e+00
1.065493646138807454e-01,-3.490909090909156021e+00
1.075268817204301092e-01,5.020259740259689352e+00
1.085043988269794729e-01,1.230129870129871961e+01
1.094819159335288367e-01,1.010701298701303585e+01
1.104594330400782004e-01,2.294025974025942105e+00
1.114369501466275642e-01,-6.449870129870078017e+00
1.124144672531769279e-01,-1.024000000000000909e+01
1.133919843597262916e-01,-7.480519480519546960e+00
1.143695014662756554e-01,-2.859220779220720488e+00
1.153470185728250191e-01,1.363116883116958888e+00
1.163245356793743829e-01,3.657142857142787307e+00
1.173020527859237605e-01,3.357922077922012249e+00
1.182795698924731242e-01,-1.795324675324593500e+00
1.192570869990224880e-01,-5.419220779220722761e+00
1.202346041055718517e-01,-4.089350649350706135e+00
1.212121212121212155e-01,-1.063896103896183831e+00
1.221896383186705792e-01,3.989610389610334096e-01
1.231671554252199430e-01,1.097142857142955563e+00
1.241446725317693067e-01,1.994805194805167048e-01
1.251221896383186705e-01,-5.784935064935211813e+00
1.260997067448680342e-01,-1.093818181818181756e+01
1.270772238514173980e-01,-4.521558441558397590e+00
1.280547409579667617e-01,9.608311688311687249e+00
1.290322580645161255e-01,1.426285714285717177e+01
1.300097751710654892e-01,7.114805194805171595e+00
1.309872922776148529e-01,-2.427012987013029033e+00
1.319648093841642167e-01,-8.876883116883050207e+00
1.329423264907135804e-01,-1.014025974025969390e+01
1.339198435972629442e-01,-7.380779220779231764e+00
1.348973607038123079e-01,-3.690389610389615882e+00
1.358748778103616717e-01,-7.646753246752950872e-01
1.368523949169110354e-01,-7.646753246753519306e-01
1.378299120234603992e-01,-4.554805194805169322e+00
1.388074291300097629e-01,-5.685194805194782930e+00
1.397849462365591267e-01,-1.662337662337790789e+00
1.407624633431084904e-01,3.889870129870132587e+00
1.417399804496578819e-01,6.682597402597423297e+00
1.427174975562072456e-01,4.122597402597477867e+00
1.436950146627566094e-01,-1.263376623376643693e+00
1.446725317693059731e-01,-5.618701298701409996e+00
1.456500488758553369e-01,-6.017662337662329719e+00
1.466275659824047006e-01,-6.649350649348662046e-02
1.476050830889540644e-01,7.480519480519546960e+00
1.485826001955034281e-01,7.646753246753291933e+00
1.495601173020527919e-01,2.593246753246717162e+00
1.505376344086021556e-01,-2.925714285714320795e+00
1.515151515151515194e-01,-4.621298701298655942e+00
1.524926686217008831e-01,-9.974025974026403674e-01
1.534701857282502468e-01,2.759480519480518979e+00
1.544477028347996106e-01,5.219740259740319743e+00
1.554252199413489743e-01,6.084155844155816339e+00
1.564027370478983381e-01,2.559999999999945430e+00
1.573802541544477018e-01,5.651948051948352258e-01
1.583577712609970656e-01,1.961558441558452159e+00
1.593352883675464293e-01,2.161038961038968864e+00
1.603128054740957931e-01,3.790129870129817391e+00
1.612903225806451568e-01,4.056103896103877560e+00
1.622678396871945206e-01,2.659740259740601687e-01
1.632453567937438843e-01,-5.020259740259803038e+00
1.642228739002932481e-01,-8.378181818181758445e+00
1.652003910068426118e-01,-7.979220779220668192e+00
1.661779081133919755e-01,-3.490909090909099177e+00
1.671554252199413393e-01,2.859220779220777331e+00
1.681329423264907030e-01,6.948571428571369779e+00
1.691104594330400668e-01,5.784935064934984439e+00
1.700879765395894305e-01,-3.324675324677173194e-02
1.710654936461387943e-01,-2.925714285714320795e+00
1.720430107526881858e-01,-4.920519480519374156e+00
1.730205278592375495e-01,-7.414025974025946653e+00
1.739980449657869133e-01,-5.552207792207866532e+00
1.749755620723362770e-01,-1.496103896103875286e+00
1.759530791788856408e-01,1.595844155844190482e+00
1.769305962854350045e-01,2.825974025974005599e+00
1.779081133919843682e-01,2.992207792207750572e+00
1.788856304985337320e-01,4.255584415584394264e+00
1.798631476050830957e-01,7.846233766233808637e+00
1.808406647116324595e-01,7.879480519480523526e+00
1.818181818181818232e-01,1.662337662337620259e+00
1.827956989247311870e-01,-3.590649350649300686e+00
1.837732160312805507e-01,-6.715844155844138186e+00
1.847507331378299145e-01,-8.477922077922130484e+00
1.857282502443792782e-01,-2.061298701298710512e+00
1.867057673509286420e-01,8.278441558441556936e+00
1.876832844574780057e-01,1.040623376623386775e+01
1.886608015640273694e-01,4.521558441558454433e+00
1.896383186705767332e-01,-7.314285714285801987e-01
1.906158357771260969e-01,-2.061298701298710512e+00
1.915933528836754607e-01,-4.754285714285742870e+00
1.925708699902248244e-01,-6.183896103896074692e+00
1.935483870967741882e-01,-2.194285714285797440e+00
1.945259042033235519e-01,4.056103896103934403e+00
1.955034213098729157e-01,5.851428571428584746e+00
1.964809384164222794e-01,1.196883116883100229e+00
1.974584555229716432e-01,-2.194285714285683753e+00
1.984359726295210069e-01,-3.025454545454579147e+00
1.994134897360703707e-01,-4.222337662337622533e+00
2.003910068426197344e-01,-4.122597402597421024e+00
2.013685239491690981e-01,-4.322077922077994572e+00
2.023460410557184619e-01,-5.552207792207752846e+00
2.033235581622678256e-01,-4.455064935064910969e+00
2.043010752688172171e-01,-4.987012987013486054e-01
2.052785923753665809e-01,5.352727272727236141e+00
2.062561094819159446e-01,8.477922077922187327e+00
2.072336265884653084e-01,4.721038961038971138e+00
2.082111436950146721e-01,-3.025454545454635991e+00
2.091886608015640359e-01,-6.483116883116849749e+00
2.101661779081133996e-01,-3.690389610389559039e+00
2.111436950146627634e-01,-3.989610389610902530e-01
2.121212121212121271e-01,2.260779220779170373e+00
2.130987292277614908e-01,2.825974025974062442e+00
2.140762463343108546e-01,2.227532467532455485e+00
2.150537634408602183e-01,2.460259740259743921e+00
2.160312805474095821e-01,-5.651948051947783824e-01
2.170087976539589458e-01,-3.889870129870189430e+00
2.179863147605083096e-01,-1.861818181818136964e+00
2.189638318670576733e-01,4.288831168831279683e+00
2.199413489736070371e-01,6.915324675324598047e+00
2.209188660801564008e-01,1.396363636363616934e+00
2.218963831867057646e-01,-6.183896103896017848e+00
2.228739002932551283e-01,-1.083844155844155921e+01
2.238514173998044920e-01,-1.107116883116890449e+01
2.248289345063538558e-01,-2.692987012986975515e+00
2.258064516129032195e-01,8.876883116883220737e+00
2.267839687194525833e-01,1.147012987012988106e+01
2.277614858260019470e-01,8.178701298701241740e+00
2.287390029325513108e-01,3.324675324675297361e+00
2.297165200391006745e-01,-1.296623376623358581e+00
2.306940371456500383e-01,-3.956363636363676051e+00
2.316715542521994020e-01,-5.552207792207809689e+00
2.326490713587487658e-01,-4.155844155844079069e+00
2.336265884652981295e-01,-7.979220779221236626e-01
2.346041055718475210e-01,1.529350649350590174e+00
2.355816226783968848e-01,-2.327272727272315933e-01
2.365591397849462485e-01,-1.196883116883157072e+00
2.375366568914956122e-01,1.961558441558452159e+00
2.385141739980449760e-01,5.252987012987148319e+00
2.394916911045943397e-01,5.518961038960981114e+00
2.404692082111437035e-01,3.058701298701123505e+00
2.414467253176930672e-01,-5.319480519480066505e-01
2.424242424242424310e-01,-3.191688311688210433e+00
2.434017595307917947e-01,-3.989610389610447783e+00
2.443792766373411585e-01,8.976623376622683281e-01
2.453567937438905222e-01,8.378181818181872131e+00
2.463343108504398860e-01,5.419220779220779605e+00
2.473118279569892497e-01,-3.657142857142957837e+00
2.482893450635386134e-01,-8.577662337662388836e+00
2.492668621700879772e-01,-6.981818181818084668e+00
2.502443792766373409e-01,-4.388571428571310662e+00
2.512218963831867047e-01,-7.314285714285801987e-01
2.521994134897360684e-01,4.255584415584337421e+00
2.531769305962854322e-01,6.350129870129819665e+00
2.541544477028347959e-01,6.117402597402644915e+00
2.551319648093841597e-01,1.529350649350760705e+00
2.561094819159335234e-01,-3.590649350649357530e+00
2.570869990224828872e-01,-5.552207792207866532e+00
2.580645161290322509e-01,-6.416623376623363129e+00
2.590420332355816146e-01,-4.189090909090907644e+00
2.600195503421309784e-01,1.296623376623358581e+00
2.609970674486803421e-01,1.163636363636385340e+00
2.619745845552297059e-01,-2.161038961038912021e+00
2.629521016617790696e-01,-3.357922077922069093e+00
2.639296187683284334e-01,2.659740259739464818e-01
2.649071358748777971e-01,5.818181818181869858e+00
2.658846529814271609e-01,2.925714285714377638e+00
2.668621700879765246e-01,-2.659740259740317470e+00
2.678396871945258884e-01,-3.989610389610447783e+00
2.688172043010752521e-01,-2.127792207792253976e+00
2.697947214076246158e-01,1.363116883116902045e+00
2.707722385141739796e-01,3.889870129870132587e+00
2.717497556207233433e-01,2.094545454545425400e+00
2.727272727272727071e-01,2.327272727273452801e-01
2.737047898338220708e-01,8.644155844156102830e-01
2.746823069403714346e-01,-5.984415584415501144e-01
2.756598240469207983e-01,-2.094545454545482244e+00
2.766373411534701621e-01,-1.396363636363673777e+00
2.776148582600195258e-01,1.662337662337449729e-01
2.785923753665688896e-01,0.000000000000000000e+00
2.795698924731182533e-01,6.649350649350935782e-01
2.805474095796676171e-01,1.795324675324650343e+00
2.815249266862169808e-01,-2.360519480519428726e+00
2.825024437927664001e-01,-6.017662337662329719e+00
2.834799608993157638e-01,-2.094545454545482244e+00
2.844574780058651275e-01,4.521558441558454433e+00
2.854349951124144913e-01,7.081558441558399863e+00
2.864125122189638550e-01,6.183896103896074692e+00
2.873900293255132188e-01,1.196883116883157072e+00
2.883675464320625825e-01,-5.053506493506404240e+00
2.893450635386119463e-01,-8.610909090909103725e+00
2.903225806451613100e-01,-6.416623376623419972e+00
2.913000977517106738e-01,-3.657142857142616776e-01
2.922776148582600375e-01,3.357922077922069093e+00
2.932551319648094013e-01,5.219740259740206056e+00
2.942326490713587650e-01,2.659740259740260626e+00
2.952101661779081287e-01,-9.641558441558117920e-01
2.961876832844574925e-01,-3.324675324677173194e-02
2.971652003910068562e-01,2.294025974025942105e+00
2.981427174975562200e-01,2.161038961038912021e+00
2.991202346041055837e-01,7.646753246753519306e-01
3.000977517106549475e-01,-2.327272727272656994e+00
3.010752688172043112e-01,-4.787532467532514602e+00
3.020527859237536750e-01,-2.792727272727290710e+00
3.030303030303030387e-01,2.061298701298767355e+00
3.040078201368524025e-01,5.186493506493491168e+00
3.049853372434017662e-01,3.025454545454522304e+00
3.059628543499511300e-01,1.728831168831163723e+00
3.069403714565004937e-01,2.327272727272315933e-01
3.079178885630498574e-01,-3.391168831168783981e+00
3.088954056695992212e-01,-3.291428571428582472e+00
3.098729227761485849e-01,1.629090909090848527e+00
3.108504398826979487e-01,4.787532467532514602e+00
3.118279569892473124e-01,2.992207792207864259e+00
3.128054740957966762e-01,5.651948051948352258e-01
3.137829912023460399e-01,-2.659740259740317470e+00
3.147605083088954037e-01,-2.161038961038968864e+00
3.157380254154447674e-01,3.025454545454579147e+00
3.167155425219941312e-01,7.480519480519433273e+00
3.176930596285434949e-01,9.209350649350596996e+00
3.186705767350928586e-01,5.153246753246776279e+00
3.196480938416422224e-01,-2.526753246753230542e+00
3.206256109481915861e-01,-6.050909090909101451e+00
3.216031280547409499e-01,-3.357922077922069093e+00
3.225806451612903136e-01,3.291428571428582472e+00
3.235581622678396774e-01,9.641558441558515824e+00
3.245356793743890411e-01,9.608311688311687249e+00
3.255131964809384049e-01,4.222337662337565689e+00
3.264907135874877686e-01,-2.460259740259687078e+00
3.274682306940371324e-01,-4.255584415584337421e+00
3.284457478005864961e-01,-1.097142857142898720e+00
3.294232649071358598e-01,8.976623376622683281e-01
3.304007820136852236e-01,7.646753246753519306e-01
3.313782991202345873e-01,8.311688311688385511e-01
3.323558162267839511e-01,-4.322077922078619849e-01
3.333333333333333148e-01,-3.923116883116847475e+00
3.343108504398826786e-01,-4.621298701298599099e+00
3.352883675464320423e-01,-2.327272727272713837e+00
3.362658846529814061e-01,1.363116883116845202e+00
3.372434017595307698e-01,2.692987012987032358e+00
3.382209188660801336e-01,9.974025974031519581e-02
3.391984359726294973e-01,-4.355324675324709460e+00
3.401759530791788610e-01,-7.912727272727352101e+00
3.411534701857282248e-01,-6.815584415584453382e+00
3.421309872922775885e-01,1.163636363636442184e+00
3.431085043988269523e-01,8.311688311688385511e+00
3.440860215053763715e-01,5.884675324675242791e+00
3.450635386119257353e-01,1.329870129869732409e-01
3.460410557184750990e-01,-4.754285714285742870e+00
3.470185728250244628e-01,-6.449870129870134861e+00
3.479960899315738265e-01,-4.089350649350649292e+00
3.489736070381231903e-01,-2.227532467532455485e+00
3.499511241446725540e-01,-5.319480519479498071e-01
3.509286412512219178e-01,2.825974025974005599e+00
3.519061583577712815e-01,3.158441558441438701e+00
3.528836754643206453e-01,-8.976623376623251716e-01
3.538611925708700090e-01,-4.255584415584337421e+00
3.548387096774193727e-01,-3.956363636363562364e+00
3.558162267839687365e-01,-9.309090909091537469e-01
3.567937438905181002e-01,4.322077922077482981e-01
3.577712609970674640e-01,-2.759480519480518979e+00
3.587487781036168277e-01,-7.912727272727238415e+00
3.597262952101661915e-01,-1.379740259740253805e+01
3.607038123167155552e-01,-1.449558441558457389e+01
3.616813294232649190e-01,-4.987012987013031307e+00
3.626588465298142827e-01,4.455064935065081499e+00
3.636363636363636465e-01,5.984415584415557987e+00
3.646138807429130102e-01,3.424415584415498870e+00
3.655913978494623739e-01,2.327272727273452801e-01
3.665689149560117377e-01,-3.723636363636387614e+00
3.675464320625611014e-01,-5.286233766233749520e+00
3.685239491691104652e-01,-2.327272727272656994e+00
3.695014662756598289e-01,1.396363636363616934e+00
3.704789833822091927e-01,4.322077922077880885e+00
3.714565004887585564e-01,6.383376623376534553e+00
3.724340175953079202e-01,3.557402597402642641e+00
3.734115347018572839e-01,2.294025974026055792e+00
3.743890518084066477e-01,5.086753246753232816e+00
3.753665689149560114e-01,5.651948051948011198e+00
3.763440860215053752e-01,2.859220779220720488e+00
3.773216031280547389e-01,-2.327272727272315933e-01
3.782991202346041026e-01,-1.828571428571308388e+00
3.792766373411534664e-01,-3.324675324675297361e+00
3.802541544477028301e-01,-3.424415584415669400e+00
3.812316715542521939e-01,8.976623376623251716e-01
3.822091886608015576e-01,7.680000000000006821e+00
3.831867057673509214e-01,9.275844155844140460e+00
3.841642228739002851e-01,5.153246753246776279e+00
3.851417399804496489e-01,-8.311688311687817077e-01
3.861192570869990126e-01,-5.485714285714266225e+00
3.870967741935483764e-01,-6.150649350649359803e+00
3.880742913000977401e-01,-3.058701298701350879e+00
3.890518084066471038e-01,8.644155844155534396e-01
3.900293255131964676e-01,2.859220779220777331e+00
3.910068426197458313e-01,7.314285714285233553e-01
3.919843597262951951e-01,-4.421818181818082394e+00
3.929618768328445588e-01,-5.518961038960981114e+00
3.939393939393939226e-01,-2.593246753246830849e+00
3.949169110459432863e-01,4.654545454545200300e-01
3.958944281524926501e-01,2.260779220779227217e+00
3.968719452590420138e-01,1.396363636363673777e+00
3.978494623655913776e-01,-2.061298701298710512e+00
3.988269794721407413e-01,-6.549610389610393213e+00
3.998044965786901050e-01,-7.114805194805228439e+00
4.007820136852394688e-01,6.981818181818653102e-01
4.017595307917888325e-01,9.475324675324770851e+00
4.027370478983381963e-01,9.342337662337570237e+00
4.037145650048875600e-01,2.127792207792197132e+00
4.046920821114369238e-01,-5.984415584415557987e+00
4.056695992179862875e-01,-8.145454545454583695e+00
4.066471163245356513e-01,-6.117402597402644915e+00
4.076246334310850705e-01,-3.790129870129931078e+00
4.086021505376344343e-01,-5.984415584415501144e-01
4.095796676441837980e-01,2.992207792207807415e+00
4.105571847507331618e-01,4.421818181818139237e+00
4.115347018572825255e-01,5.651948051948352258e-01
4.125122189638318893e-01,-1.662337662337563415e+00
4.134897360703812530e-01,-1.329870129869732409e-01
4.144672531769306167e-01,2.593246753246717162e+00
4.154447702834799805e-01,4.953766233766145888e+00
4.164222873900293442e-01,2.892467532467549063e+00
4.173998044965787080e-01,-1.961558441558338473e+00
4.183773216031280717e-01,-7.181298701298715059e+00
4.193548387096774355e-01,-8.411428571428643863e+00
4.203323558162267992e-01,-1.861818181818136964e+00
4.213098729227761630e-01,7.580259740259748469e+00
4.222873900293255267e-01,7.447272727272718384e+00
4.232649071358748905e-01,2.127792207792197132e+00
4.242424242424242542e-01,-2.127792207792197132e+00
4.252199413489736179e-01,-5.751688311688269550e+00
4.261974584555229817e-01,-5.485714285714379912e+00
4.271749755620723454e-01,-3.457662337662327445e+00
4.281524926686217092e-01,-1.695584415584278304e+00
4.291300097751710729e-01,5.984415584415501144e-01
4.301075268817204367e-01,2.360519480519371882e+00
4.310850439882698004e-01,0.000000000000000000e+00
4.320625610948191642e-01,-2.825974025974005599e+00
4.330400782013685279e-01,-2.792727272727290710e+00
4.340175953079178917e-01,5.984415584415501144e-01
4.349951124144672554e-01,2.759480519480575822e+00
4.359726295210166191e-01,2.227532467532455485e+00
4.369501466275659829e-01,1.762077922077821768e+00
4.379276637341153466e-01,-1.629090909090962214e+00
4.389051808406647104e-01,-5.419220779220779605e+00
4.398826979472140741e-01,-1.629090909090791683e+00
4.408602150537634379e-01,6.117402597402588071e+00
4.418377321603128016e-01,6.915324675324598047e+00
4.428152492668621654e-01,2.427012987013029033e+00
4.437927663734115291e-01,-1.861818181818193807e+00
4.447702834799608929e-01,-5.452467532467494493e+00
4.457478005865102566e-01,-5.286233766233749520e+00
4.467253176930596203e-01,-5.319480519481203373e-01
4.477028347996089841e-01,5.086753246753232816e+00
4.486803519061583478e-01,6.616103896103936677e+00
4.496578690127077116e-01,4.255584415584451108e+00
4.506353861192570753e-01,2.094545454545425400e+00
4.516129032258064391e-01,-3.324675324677173194e-02
4.525904203323558028e-01,0.000000000000000000e+00
4.535679374389051666e-01,3.391168831168840825e+00
4.545454545454545303e-01,5.518961038961037957e+00
4.555229716520038941e-01,4.421818181818196081e+00
4.565004887585532578e-01,1.130389610389670452e+00
4.574780058651026216e-01,-4.288831168831222840e+00
4.584555229716519853e-01,-7.314285714285745144e+00
4.594330400782013490e-01,-8.976623376623251716e-01
4.604105571847507128e-01,6.882077922077883159e+00
4.613880742913000765e-01,6.350129870129876508e+00
4.623655913978494403e-01,3.058701298701350879e+00
4.633431085043988040e-01,-1.130389610389556765e+00
4.643206256109481678e-01,-2.859220779220777331e+00
4.652981427174975315e-01,-1.329870129870187156e+00
4.662756598240468953e-01,-3.324675324675467891e-01
4.672531769305962590e-01,1.828571428571478918e+00
4.682306940371456228e-01,1.196883116883100229e+00
4.692082111436950420e-01,-3.125194805194837500e+00
4.701857282502444058e-01,-6.183896103896074692e+00
4.711632453567937695e-01,-5.385974025974007873e+00
4.721407624633431332e-01,-1.762077922077935455e+00
4.731182795698924970e-01,1.363116883116902045e+00
4.740957966764418607e-01,3.357922077922069093e+00
4.750733137829912245e-01,2.593246753246774006e+00
4.760508308895405882e-01,-2.260779220779227217e+00
4.770283479960899520e-01,-6.715844155844195029e+00
4.780058651026393157e-01,-8.311688311688328668e+00
4.789833822091886795e-01,-2.792727272727233867e+00
4.799608993157380432e-01,7.314285714285688300e+00
4.809384164222874070e-01,8.178701298701241740e+00
4.819159335288367707e-01,-5.651948051947783824e-01
4.828934506353861345e-01,-7.613506493506520201e+00
4.838709677419354982e-01,-8.012467532467553610e+00
4.848484848484848619e-01,-5.884675324675242791e+00
4.858260019550342257e-01,-1.296623376623358581e+00
4.868035190615835894e-01,3.424415584415555713e+00
4.877810361681329532e-01,4.987012987013031307e+00
4.887585532746823169e-01,2.859220779220777331e+00
4.897360703812316807e-01,-2.593246753246774006e+00
4.907135874877810444e-01,-7.812987012987036906e+00
4.916911045943304082e-01,-9.309090909090969035e+00
4.926686217008797719e-01,-3.923116883116904319e+00
4.936461388074291357e-01,2.127792207792253976e+00
4.946236559139784994e-01,2.925714285714320795e+00
4.956011730205278631e-01,1.196883116883100229e+00
4.965786901270772269e-01,6.981818181818653102e-01
4.975562072336265906e-01,1.961558441558509003e+00
4.985337243401759544e-01,7.912727272727238415e+00
