VDD,Vbiasc,Vbias,Iref,Iout
0.000000000000000000e+00,-6.910782899999999529e+01,-4.277172910000000172e+01,-3.391652280000000130e-02,2.845795809999999721e-03
1.000000000000000021e-02,-6.563362680000000182e+01,-4.028092829999999935e+01,-3.112370759999999806e-02,3.236085670000000015e-03
2.000000000000000042e-02,-6.214279570000000064e+01,-3.782452419999999904e+01,-2.821971250000000070e-02,3.712923550000000322e-03
2.999999999999999889e-02,-5.864158570000000026e+01,-3.540624989999999883e+01,-2.518477550000000273e-02,4.294918709999999765e-03
4.000000000000000083e-02,-5.513391520000000412e+01,-3.302873420000000237e+01,-2.201188999999999923e-02,5.014679169999999506e-03
5.000000000000000278e-02,-5.162222030000000217e+01,-3.069185560000000024e+01,-1.867162640000000207e-02,5.903684819999999514e-03
5.999999999999999778e-02,-4.810564420000000041e+01,-2.839444790000000296e+01,-1.513573790000000141e-02,7.010899709999999889e-03
7.000000000000000666e-02,-4.458125799999999828e+01,-2.613359520000000202e+01,-1.135615869999999882e-02,8.387924910000000428e-03
8.000000000000000167e-02,-4.104049320000000023e+01,-2.390420169999999800e+01,-7.277951320000000841e-03,1.011105070000000057e-02
8.999999999999999667e-02,-3.747197249999999968e+01,-2.169881610000000194e+01,-2.819522320000000110e-03,1.226017180000000054e-02
1.000000000000000056e-01,-3.385692060000000225e+01,-1.950724070000000054e+01,2.118261169999999943e-03,1.494602050000000057e-02
1.100000000000000006e-01,-3.016938000000000031e+01,-1.731555050000000051e+01,7.665657450000000137e-03,1.830575419999999967e-02
1.199999999999999956e-01,-2.638185360000000301e+01,-1.511000030000000116e+01,1.398459649999999992e-02,2.248288219999999837e-02
1.300000000000000044e-01,-2.245545219999999986e+01,-1.287150669999999941e+01,2.127597720000000067e-02,2.767089459999999904e-02
1.400000000000000133e-01,-1.833701250000000016e+01,-1.057531980000000082e+01,2.980236819999999842e-02,3.413729199999999964e-02
1.499999999999999944e-01,-1.397423030000000033e+01,-8.197258290000000613e+00,3.988034030000000424e-02,4.215765889999999877e-02
1.600000000000000033e-01,-9.308116319999999888e+00,-5.710658350000000105e+00,5.189743460000000030e-02,5.206598800000000055e-02
1.700000000000000122e-01,-4.227882479999999887e+00,-3.064800729999999973e+00,6.645749860000001175e-02,6.447555160000000007e-02
1.799999999999999933e-01,1.377180740000000014e+00,-2.093985640000000092e-01,8.432881429999999900e-02,8.008610210000000063e-02
1.900000000000000022e-01,7.627958439999999563e+00,2.910466780000000142e+00,1.065158370000000021e-01,9.978660419999998976e-02
2.000000000000000111e-01,1.477596680000000084e+01,6.411059840000000065e+00,1.348115189999999908e-01,1.253488420000000159e-01
2.099999999999999922e-01,2.309104010000000073e+01,1.041730339999999977e+01,1.717027640000000077e-01,1.591652169999999977e-01
2.200000000000000011e-01,3.284817689999999857e+01,1.505775120000000022e+01,2.205803829999999910e-01,2.045742039999999817e-01
2.300000000000000100e-01,4.407048520000000025e+01,2.034729079999999968e+01,2.846748210000000223e-01,2.648208340000000049e-01
2.399999999999999911e-01,5.650361069999999586e+01,2.617570019999999786e+01,3.665690779999999926e-01,3.426837629999999746e-01
2.500000000000000000e-01,6.988321399999999528e+01,3.242858530000000172e+01,4.696162640000000610e-01,4.418162749999999805e-01
2.600000000000000089e-01,8.361649590000000387e+01,3.883800099999999844e+01,5.949081459999999710e-01,5.633281519999999709e-01
2.700000000000000178e-01,9.749727580000001126e+01,4.531236820000000165e+01,7.463226319999999303e-01,7.111296670000000208e-01
2.800000000000000266e-01,1.113396510000000035e+02,5.176785600000000187e+01,9.280283590000000249e-01,8.893176449999999900e-01
2.899999999999999800e-01,1.250839280000000144e+02,5.817863219999999558e+01,1.145956030000000014e+00,1.103752220000000062e+00
2.999999999999999889e-01,1.387059190000000228e+02,6.453462259999999162e+01,1.407393120000000053e+00,1.361642110000000017e+00
3.099999999999999978e-01,1.519157899999999870e+02,7.070162080000000060e+01,1.713896780000000009e+00,1.664280729999999986e+00
3.200000000000000067e-01,1.649992110000000025e+02,7.681280999999999892e+01,2.080171039999999749e+00,2.026445559999999979e+00
3.300000000000000155e-01,1.776670049999999890e+02,8.273345140000000697e+01,2.506830059999999971e+00,2.448451300000000330e+00
3.400000000000000244e-01,1.900071459999999774e+02,8.850396630000000187e+01,3.004433119999999846e+00,2.940795370000000020e+00
3.499999999999999778e-01,2.020363609999999994e+02,9.413162219999999536e+01,3.582457579999999808e+00,3.512855679999999925e+00
3.599999999999999867e-01,2.136828170000000000e+02,9.958199840000000336e+01,4.245693669999999642e+00,4.169281479999999540e+00
3.699999999999999956e-01,2.249250509999999963e+02,1.048449339999999950e+02,4.999484559999999966e+00,4.915367960000000203e+00
3.800000000000000044e-01,2.357493939999999952e+02,1.099143010000000089e+02,5.848086280000000414e+00,5.755473730000000288e+00
3.900000000000000133e-01,2.459559440000000166e+02,1.146972990000000010e+02,6.775521470000000157e+00,6.673894920000000397e+00
4.000000000000000222e-01,2.551927990000000364e+02,1.190294290000000075e+02,7.735573429999999640e+00,7.625309950000001002e+00
4.099999999999999756e-01,2.627008809999999812e+02,1.225538619999999952e+02,8.608273320000000339e+00,8.491701629999999668e+00
4.199999999999999845e-01,2.675932369999999878e+02,1.248523700000000076e+02,9.220662329999999685e+00,9.102095900000000128e+00
4.299999999999999933e-01,2.701617630000000077e+02,1.260602050000000105e+02,9.551037089999999452e+00,9.433520999999998935e+00
4.400000000000000022e-01,2.714905190000000061e+02,1.266857320000000016e+02,9.720030770000001041e+00,9.604189319999999697e+00
4.500000000000000111e-01,2.722529400000000237e+02,1.270450100000000191e+02,9.813647070000000028e+00,9.699311230000001061e+00
4.600000000000000200e-01,2.727388190000000350e+02,1.272742189999999880e+02,9.870445739999999191e+00,9.757323780000000113e+00
4.699999999999999734e-01,2.730736790000000269e+02,1.274322820000000149e+02,9.907514159999999848e+00,9.795257330000000096e+00
4.799999999999999822e-01,2.733233319999999935e+02,1.275501639999999952e+02,9.933502139999999869e+00,9.822151049999998662e+00
4.899999999999999911e-01,2.735135180000000332e+02,1.276399340000000109e+02,9.952323249999999177e+00,9.841526330000000655e+00
5.000000000000000000e-01,2.736702349999999910e+02,1.277139230000000083e+02,9.966961010000000343e+00,9.856961809999999602e+00
5.100000000000000089e-01,2.737966200000000185e+02,1.277735479999999910e+02,9.978321799999999797e+00,9.868861950000001215e+00
5.200000000000000178e-01,2.739014880000000289e+02,1.278230039999999832e+02,9.987407140000000183e+00,9.878414080000000652e+00
5.300000000000000266e-01,2.739900719999999978e+02,1.278647430000000043e+02,9.994798049999999989e+00,9.886326880000000372e+00
5.400000000000000355e-01,2.740655370000000062e+02,1.279002969999999948e+02,1.000088329999999992e+01,9.892992070000000027e+00
5.500000000000000444e-01,2.741273960000000329e+02,1.279294179999999841e+02,1.000580599999999976e+01,9.898305260000000771e+00
5.600000000000000533e-01,2.741838329999999928e+02,1.279559849999999983e+02,1.001025180000000070e+01,9.903389450000000593e+00
5.699999999999999512e-01,2.742299909999999841e+02,1.279776910000000072e+02,1.001396710000000034e+01,9.907513659999999334e+00
5.799999999999999600e-01,2.742736599999999498e+02,1.279982379999999864e+02,1.001749960000000073e+01,9.911735300000000137e+00
5.899999999999999689e-01,2.743073730000000410e+02,1.280140940000000001e+02,1.002036140000000053e+01,9.914941340000000380e+00
5.999999999999999778e-01,2.743369020000000091e+02,1.280279679999999871e+02,1.002293680000000009e+01,9.917904359999999642e+00
6.099999999999999867e-01,2.743641350000000330e+02,1.280407649999999933e+02,1.002535330000000080e+01,9.920837350000001109e+00
6.199999999999999956e-01,2.743856299999999919e+02,1.280508670000000109e+02,1.002738330000000033e+01,9.923188090000000017e+00
6.300000000000000044e-01,2.744059939999999642e+02,1.280604519999999980e+02,1.002933250000000065e+01,9.925566279999999963e+00
6.400000000000000133e-01,2.744245730000000094e+02,1.280691800000000171e+02,1.003115440000000014e+01,9.927824939999998932e+00
6.500000000000000222e-01,2.744412370000000010e+02,1.280770100000000014e+02,1.003283940000000030e+01,9.929951829999998481e+00
6.600000000000000311e-01,2.744563220000000001e+02,1.280841049999999939e+02,1.003441340000000004e+01,9.931913690000000017e+00
6.700000000000000400e-01,2.744710230000000024e+02,1.280910059999999930e+02,1.003595140000000008e+01,9.933884349999999586e+00
6.800000000000000488e-01,2.744823379999999702e+02,1.280963189999999940e+02,1.003725720000000088e+01,9.935410159999999991e+00
6.899999999999999467e-01,2.744950820000000249e+02,1.281023099999999886e+02,1.003864940000000061e+01,9.937165480000000883e+00
6.999999999999999556e-01,2.745049620000000345e+02,1.281069499999999834e+02,1.003984260000000006e+01,9.938534020000000524e+00
7.099999999999999645e-01,2.745177710000000388e+02,1.281129640000000052e+02,1.004122040000000027e+01,9.940340189999998799e+00
7.199999999999999734e-01,2.745273730000000114e+02,1.281174790000000030e+02,1.004237840000000048e+01,9.941689139999999369e+00
7.299999999999999822e-01,2.745401400000000081e+02,1.281234729999999900e+02,1.004373580000000032e+01,9.943506720000000243e+00
7.399999999999999911e-01,2.745483389999999986e+02,1.281273219999999924e+02,1.004478289999999951e+01,9.944669870000000245e+00
7.500000000000000000e-01,2.745607130000000211e+02,1.281331310000000201e+02,1.004609720000000017e+01,9.946437910000000215e+00
7.600000000000000089e-01,2.745696530000000166e+02,1.281373339999999814e+02,1.004717839999999995e+01,9.947712949999999665e+00
7.700000000000000178e-01,2.745808020000000056e+02,1.281425770000000171e+02,1.004839540000000042e+01,9.949308069999998949e+00
7.800000000000000266e-01,2.745880499999999529e+02,1.281459830000000011e+02,1.004934729999999909e+01,9.950342140000000057e+00
7.900000000000000355e-01,2.745971089999999890e+02,1.281502409999999941e+02,1.005041190000000029e+01,9.951637120000000891e+00
8.000000000000000444e-01,2.746094380000000115e+02,1.281560340000000053e+02,1.005168289999999942e+01,9.953404319999998862e+00
8.100000000000000533e-01,2.746174929999999677e+02,1.281598150000000089e+02,1.005266439999999939e+01,9.954556719999999359e+00
8.199999999999999512e-01,2.746292530000000056e+02,1.281653299999999831e+02,1.005388340000000014e+01,9.956245830000000296e+00
8.299999999999999600e-01,2.746443009999999845e+02,1.281724120000000084e+02,1.005531340000000107e+01,9.958400579999999280e+00
8.399999999999999689e-01,2.746524969999999826e+02,1.281762489999999843e+02,1.005628130000000020e+01,9.959576939999999823e+00
8.499999999999999778e-01,2.746586030000000278e+02,1.281791300000000149e+02,1.005710780000000071e+01,9.960441530000000654e+00
8.599999999999999867e-01,2.746682720000000018e+02,1.281836670000000140e+02,1.005816049999999962e+01,9.961827189999999277e+00
8.699999999999999956e-01,2.746757430000000113e+02,1.281871760000000222e+02,1.005906300000000009e+01,9.962894020000000239e+00
8.800000000000000044e-01,2.746857650000000035e+02,1.281918900000000008e+02,1.006012679999999904e+01,9.964324660000000833e+00
8.900000000000000133e-01,2.746935569999999984e+02,1.281955429999999865e+02,1.006103629999999960e+01,9.965439480000000572e+00
9.000000000000000222e-01,2.747054789999999684e+02,1.282011439999999993e+02,1.006221359999999976e+01,9.967146980000000767e+00
9.100000000000000311e-01,2.747154250000000388e+02,1.282058179999999936e+02,1.006325520000000040e+01,9.968568799999999896e+00
9.200000000000000400e-01,2.747264099999999871e+02,1.282109760000000165e+02,1.006435779999999980e+01,9.970143710000000326e+00
9.300000000000000488e-01,2.747335069999999746e+02,1.282143089999999859e+02,1.006519920000000035e+01,9.971152230000001282e+00
9.399999999999999467e-01,2.747440619999999853e+02,1.282192640000000097e+02,1.006626299999999929e+01,9.972664419999999197e+00
9.499999999999999556e-01,2.747577929999999924e+02,1.282257350000000145e+02,1.006753450000000072e+01,9.974625750000001290e+00
9.599999999999999645e-01,2.747610010000000216e+02,1.282272370000000024e+02,1.006810269999999896e+01,9.975074259999999526e+00
9.699999999999999734e-01,2.747733889999999519e+02,1.282330550000000073e+02,1.006927259999999968e+01,9.976846699999999402e+00
9.799999999999999822e-01,2.747815800000000195e+02,1.282368969999999990e+02,1.007015990000000016e+01,9.978016150000000195e+00
9.899999999999999911e-01,2.747925250000000119e+02,1.282420370000000105e+02,1.007122500000000009e+01,9.979581020000001246e+00
1.000000000000000000e+00,2.748000219999999558e+02,1.282455669999999941e+02,1.007205910000000060e+01,9.980643469999998629e+00
1.010000000000000009e+00,2.748103550000000155e+02,1.282504220000000146e+02,1.007307509999999873e+01,9.982117190000000306e+00
1.020000000000000018e+00,2.748199589999999830e+02,1.282549309999999991e+02,1.007403880000000029e+01,9.983486729999999199e+00
1.030000000000000027e+00,2.748342369999999732e+02,1.282616500000000030e+02,1.007530779999999915e+01,9.985528159999999431e+00
1.040000000000000036e+00,2.748422790000000191e+02,1.282654049999999870e+02,1.007615710000000142e+01,9.986677900000000108e+00
1.050000000000000044e+00,2.748512200000000121e+02,1.282696020000000203e+02,1.007706459999999993e+01,9.987949370000000826e+00
1.060000000000000053e+00,2.748612329999999702e+02,1.282743269999999995e+02,1.007804209999999934e+01,9.989366900000000271e+00
1.070000000000000062e+00,2.748718769999999836e+02,1.282793110000000070e+02,1.007905290000000065e+01,9.990889770000000780e+00
1.080000000000000071e+00,2.748803679999999758e+02,1.282832989999999995e+02,1.007991999999999955e+01,9.992093740000001389e+00
1.090000000000000080e+00,2.748877940000000422e+02,1.282867809999999906e+02,1.008071270000000119e+01,9.993145300000000120e+00
1.100000000000000089e+00,2.749033559999999738e+02,1.282941009999999835e+02,1.008204170000000133e+01,9.995368259999999339e+00
1.110000000000000098e+00,2.749105210000000170e+02,1.282974690000000066e+02,1.008281189999999938e+01,9.996376689999999954e+00
1.120000000000000107e+00,2.749227470000000153e+02,1.283032199999999818e+02,1.008391349999999953e+01,9.998115070000000770e+00
1.129999999999999893e+00,2.749332880000000046e+02,1.283081689999999924e+02,1.008489989999999992e+01,9.999611950000000249e+00
1.139999999999999902e+00,2.749415379999999800e+02,1.283120490000000018e+02,1.008573339999999874e+01,1.000077450000000034e+01
1.149999999999999911e+00,2.749489980000000173e+02,1.283155490000000043e+02,1.008651080000000100e+01,1.000182290000000052e+01
1.159999999999999920e+00,2.749569500000000062e+02,1.283192880000000002e+02,1.008731919999999960e+01,1.000294059999999874e+01
1.169999999999999929e+00,2.749729379999999992e+02,1.283268009999999890e+02,1.008865540000000038e+01,1.000522109999999998e+01
1.179999999999999938e+00,2.749832300000000487e+02,1.283316250000000025e+02,1.008961150000000018e+01,1.000668030000000108e+01
1.189999999999999947e+00,2.749884879999999612e+02,1.283341010000000040e+02,1.009023540000000096e+01,1.000740319999999883e+01
1.199999999999999956e+00,2.750011930000000007e+02,1.283400729999999896e+02,1.009134829999999994e+01,1.000920349999999992e+01
1.209999999999999964e+00,2.750153599999999869e+02,1.283467219999999998e+02,1.009255450000000032e+01,1.001121879999999997e+01
1.219999999999999973e+00,2.750257409999999823e+02,1.283515940000000057e+02,1.009350899999999918e+01,1.001268310000000028e+01
1.229999999999999982e+00,2.750428939999999898e+02,1.283596499999999878e+02,1.009490899999999947e+01,1.001512639999999976e+01
1.239999999999999991e+00,2.750540639999999826e+02,1.283648980000000108e+02,1.009591269999999952e+01,1.001670209999999983e+01
1.250000000000000000e+00,2.750637939999999730e+02,1.283694669999999860e+02,1.009681950000000050e+01,1.001806679999999972e+01
1.260000000000000009e+00,2.750765509999999949e+02,1.283754639999999938e+02,1.009792520000000060e+01,1.001986660000000029e+01
1.270000000000000018e+00,2.750851270000000000e+02,1.283794779999999776e+02,1.009875129999999999e+01,1.002106440000000021e+01
1.280000000000000027e+00,2.750967929999999910e+02,1.283849659999999915e+02,1.009978300000000040e+01,1.002270219999999945e+01
1.290000000000000036e+00,2.751148849999999584e+02,1.283934660000000179e+02,1.010123650000000062e+01,1.002527360000000023e+01
1.300000000000000044e+00,2.751258189999999786e+02,1.283985999999999876e+02,1.010221609999999970e+01,1.002680370000000032e+01
1.310000000000000053e+00,2.751426240000000121e+02,1.284065060000000074e+02,1.010358399999999968e+01,1.002918039999999955e+01
1.320000000000000062e+00,2.751487449999999626e+02,1.284093739999999855e+02,1.010424339999999965e+01,1.003000930000000146e+01
1.330000000000000071e+00,2.751603510000000483e+02,1.284148399999999981e+02,1.010526679999999899e+01,1.003162629999999922e+01
1.340000000000000080e+00,2.751776600000000030e+02,1.284229689999999948e+02,1.010666389999999915e+01,1.003407529999999959e+01
1.350000000000000089e+00,2.751891630000000077e+02,1.284283529999999871e+02,1.010767489999999924e+01,1.003568439999999917e+01
1.360000000000000098e+00,2.751984770000000253e+02,1.284327409999999929e+02,1.010854510000000062e+01,1.003695790000000088e+01
1.370000000000000107e+00,2.752163649999999961e+02,1.284411340000000052e+02,1.010997790000000052e+01,1.003948880000000088e+01
1.379999999999999893e+00,2.752240669999999909e+02,1.284447619999999972e+02,1.011074080000000031e+01,1.004052599999999984e+01
1.389999999999999902e+00,2.752331750000000170e+02,1.284490499999999997e+02,1.011159609999999986e+01,1.004176459999999871e+01
1.399999999999999911e+00,2.752482749999999783e+02,1.284561410000000024e+02,1.011284539999999943e+01,1.004387799999999942e+01
1.409999999999999920e+00,2.752553350000000023e+02,1.284594400000000007e+02,1.011356209999999933e+01,1.004482329999999912e+01
1.419999999999999929e+00,2.752614370000000008e+02,1.284623360000000218e+02,1.011422199999999982e+01,1.004560950000000119e+01
1.429999999999999938e+00,2.752691850000000500e+02,1.284659699999999987e+02,1.011498600000000003e+01,1.004664380000000001e+01
1.439999999999999947e+00,2.752780200000000264e+02,1.284701249999999959e+02,1.011582369999999997e+01,1.004782849999999961e+01
1.449999999999999956e+00,2.752740279999999871e+02,1.284682439999999986e+02,1.011581379999999974e+01,1.004714749999999945e+01
1.459999999999999964e+00,2.752755359999999882e+02,1.284689569999999890e+02,1.011616900000000108e+01,1.004725709999999950e+01
1.469999999999999973e+00,2.752624339999999847e+02,1.284628179999999986e+02,1.011556230000000056e+01,1.004523419999999945e+01
1.479999999999999982e+00,2.752464860000000044e+02,1.284553349999999909e+02,1.011476769999999981e+01,1.004279460000000057e+01
1.489999999999999991e+00,2.752267930000000433e+02,1.284460819999999899e+02,1.011372580000000099e+01,1.003981090000000087e+01
1.500000000000000000e+00,2.751927479999999946e+02,1.284301009999999792e+02,1.011174010000000045e+01,1.003472909999999985e+01
