f,PSD_R2_in_0,PSD_R2_in_1,PSD_R2_in_2
1.000000000000000048e-04,1.204278502708419182e-06,4.817114010833676728e-06,1.204278502708419114e-04
1.258925411794167436e-04,7.598483660834872928e-07,3.039393464333949171e-06,7.598483660834872886e-05
1.584893192461114190e-04,4.794319072716504887e-07,1.917727629086601955e-06,4.794319072716505734e-05
1.995262314968878758e-04,3.025010830711954221e-07,1.210004332284781688e-06,3.025010830711953924e-05
2.511886431509579545e-04,1.908652800769837197e-07,7.634611203079348789e-07,1.908652800769837504e-05
3.162277660168379394e-04,1.204278502708419182e-07,4.817114010833676728e-07,1.204278502708419182e-05
3.981071705534973523e-04,7.598483660834868693e-08,3.039393464333947477e-07,7.598483660834870175e-06
5.011872336272725275e-04,4.794319072716504887e-08,1.917727629086601955e-07,4.794319072716504887e-06
6.309573444801929842e-04,3.025010830711953956e-08,1.210004332284781582e-07,3.025010830711954009e-06
7.943282347242813140e-04,1.908652800769837396e-08,7.634611203079349583e-08,1.908652800769837250e-06
1.000000000000000021e-03,1.204278502708419447e-08,4.817114010833677787e-08,1.204278502708419182e-06
1.258925411794167490e-03,7.598483660834872333e-09,3.039393464333948933e-08,7.598483660834871869e-07
1.584893192461114082e-03,4.794319072716506045e-09,1.917727629086602418e-08,4.794319072716505946e-07
1.995262314968878920e-03,3.025010830711953791e-09,1.210004332284781516e-08,3.025010830711954221e-07
2.511886431509582039e-03,1.908652800769833508e-09,7.634611203079334032e-09,1.908652800769833492e-07
3.162277660168379394e-03,1.204278502708419323e-09,4.817114010833677290e-09,1.204278502708419182e-07
3.981071705534973415e-03,7.598483660834870472e-10,3.039393464333948189e-09,7.598483660834870017e-08
5.011872336272724625e-03,4.794319072716507286e-10,1.917727629086602914e-09,4.794319072716507534e-08
6.309573444801930275e-03,3.025010830711954101e-10,1.210004332284781640e-09,3.025010830711953956e-08
7.943282347242820729e-03,1.908652800769833715e-10,7.634611203079334860e-10,1.908652800769833756e-08
1.000000000000000021e-02,1.204278502708418909e-10,4.817114010833675636e-10,1.204278502708418950e-08
1.258925411794167490e-02,7.598483660834872022e-11,3.039393464333948809e-10,7.598483660834872333e-09
1.584893192461114125e-02,4.794319072716506510e-11,1.917727629086602604e-10,4.794319072716506045e-09
1.995262314968880915e-02,3.025010830711947897e-11,1.210004332284779159e-10,3.025010830711948001e-09
2.511886431509582213e-02,1.908652800769832875e-11,7.634611203079331499e-11,1.908652800769833095e-09
3.162277660168379134e-02,1.204278502708419361e-11,4.817114010833677445e-11,1.204278502708419323e-09
3.981071705534973415e-02,7.598483660834869114e-12,3.039393464333947646e-11,7.598483660834868404e-10
5.011872336272724798e-02,4.794319072716504895e-12,1.917727629086601958e-11,4.794319072716505218e-10
6.309573444801935826e-02,3.025010830711948220e-12,1.210004332284779288e-11,3.025010830711948414e-10
7.943282347242822117e-02,1.908652800769833279e-12,7.634611203079333115e-12,1.908652800769833198e-10
1.000000000000000056e-01,1.204278502708419281e-12,4.817114010833677122e-12,1.204278502708419167e-10
1.258925411794167559e-01,7.598483660834868711e-13,3.039393464333947484e-12,7.598483660834869438e-11
1.584893192461114264e-01,4.794319072716504491e-13,1.917727629086601796e-12,4.794319072716504571e-11
1.995262314968880846e-01,3.025010830711947715e-13,1.210004332284779086e-12,3.025010830711947251e-11
2.511886431509582351e-01,1.908652800769832976e-13,7.634611203079331903e-13,1.908652800769832875e-11
3.162277660168379412e-01,1.204278502708419180e-13,4.817114010833676718e-13,1.204278502708419361e-11
3.981071705534973137e-01,7.598483660834872497e-14,3.039393464333948999e-13,7.598483660834870730e-12
5.011872336272724660e-01,4.794319072716506763e-14,1.917727629086602705e-13,4.794319072716506510e-12
6.309573444801935826e-01,3.025010830711947589e-14,1.210004332284779036e-13,3.025010830711947816e-12
7.943282347242821562e-01,1.908652800769833039e-14,7.634611203079332155e-14,1.908652800769832875e-12
1.000000000000000000e+00,1.204278502708419211e-14,4.817114010833676845e-14,1.204278502708419079e-12
1.258925411794168836e+00,7.598483660834856720e-15,3.039393464333942688e-14,7.598483660834856594e-13
1.584893192461114042e+00,4.794319072716506763e-15,1.917727629086602705e-14,4.794319072716506510e-13
1.995262314968878847e+00,3.025010830711954137e-15,1.210004332284781655e-14,3.025010830711954279e-13
2.511886431509582351e+00,1.908652800769832644e-15,7.634611203079330578e-15,1.908652800769832976e-13
3.162277660168379523e+00,1.204278502708419211e-15,4.817114010833676845e-15,1.204278502708419180e-13
3.981071705534977578e+00,7.598483660834853762e-16,3.039393464333941505e-15,7.598483660834854827e-14
5.011872336272724660e+00,4.794319072716505382e-16,1.917727629086602153e-15,4.794319072716505500e-14
6.309573444801943154e+00,3.025010830711941022e-16,1.210004332284776409e-15,3.025010830711941278e-14
7.943282347242821118e+00,1.908652800769833532e-16,7.634611203079334128e-16,1.908652800769833354e-14
1.000000000000000000e+01,1.204278502708419408e-16,4.817114010833677634e-16,1.204278502708419369e-14
1.258925411794168703e+01,7.598483660834856720e-17,3.039393464333942688e-16,7.598483660834856720e-15
1.584893192461114175e+01,4.794319072716506245e-17,1.917727629086602498e-16,4.794319072716505185e-15
1.995262314968882933e+01,3.025010830711940899e-17,1.210004332284776359e-16,3.025010830711941121e-15
2.511886431509581996e+01,1.908652800769833285e-17,7.634611203079333142e-17,1.908652800769833433e-15
3.162277660168379256e+01,1.204278502708419562e-17,4.817114010833678250e-17,1.204278502708419408e-15
3.981071705534977667e+01,7.598483660834853022e-18,3.039393464333941209e-17,7.598483660834852776e-16
5.011872336272725192e+01,4.794319072716506399e-18,1.917727629086602560e-17,4.794319072716506368e-16
6.309573444801942799e+01,3.025010830711941669e-18,1.210004332284776668e-17,3.025010830711941515e-16
7.943282347242821118e+01,1.908652800769833362e-18,7.634611203079333450e-18,1.908652800769833532e-16
1.000000000000000000e+02,1.204278502708419216e-18,4.817114010833676863e-18,1.204278502708419162e-16
1.258925411794168809e+02,7.598483660834857066e-19,3.039393464333942827e-18,7.598483660834855487e-17
1.584893192461114211e+02,4.794319072716505629e-19,1.917727629086602251e-18,4.794319072716505629e-17
1.995262314968883004e+02,3.025010830711941380e-19,1.210004332284776552e-18,3.025010830711940899e-17
2.511886431509582280e+02,1.908652800769833651e-19,7.634611203079334605e-19,1.908652800769833285e-17
3.162277660168379612e+02,1.204278502708418782e-19,4.817114010833675130e-19,1.204278502708418792e-17
3.981071705534977241e+02,7.598483660834856826e-20,3.039393464333942730e-19,7.598483660834856104e-18
5.011872336272724624e+02,4.794319072716505990e-20,1.917727629086602396e-19,4.794319072716506399e-18
6.309573444801942514e+02,3.025010830711941621e-20,1.210004332284776648e-19,3.025010830711941669e-18
7.943282347242821970e+02,1.908652800769833411e-20,7.634611203079333642e-20,1.908652800769833362e-18
1.000000000000000000e+03,1.204278502708419324e-20,4.817114010833677297e-20,1.204278502708419216e-18
1.258925411794168667e+03,7.598483660834857428e-21,3.039393464333942971e-20,7.598483660834858029e-19
1.584893192461114040e+03,4.794319072716507795e-21,1.917727629086603118e-20,4.794319072716507554e-19
1.995262314968882947e+03,3.025010830711941546e-21,1.210004332284776618e-20,3.025010830711941862e-19
2.511886431509582053e+03,1.908652800769833787e-21,7.634611203079335147e-21,1.908652800769833892e-19
3.162277660168379498e+03,1.204278502708418873e-21,4.817114010833675491e-21,1.204278502708419023e-19
3.981071705534977355e+03,7.598483660834856111e-22,3.039393464333942444e-21,7.598483660834856826e-20
5.011872336272725079e+03,4.794319072716505914e-22,1.917727629086602366e-21,4.794319072716505388e-20
6.309573444801942969e+03,3.025010830711941546e-22,1.210004332284776618e-21,3.025010830711941621e-20
7.943282347242821743e+03,1.908652800769832846e-22,7.634611203079331385e-22,1.908652800769832809e-20
1.000000000000000000e+04,1.204278502708419531e-22,4.817114010833678124e-22,1.204278502708419475e-20
1.258925411794166212e+04,7.598483660834885969e-23,3.039393464333954387e-22,7.598483660834886016e-21
1.584893192461117360e+04,4.794319072716486166e-23,1.917727629086594466e-22,4.794319072716485978e-21
1.995262314968882856e+04,3.025010830711942251e-23,1.210004332284776900e-22,3.025010830711941922e-21
2.511886431509582326e+04,1.908652800769833081e-23,7.634611203079332326e-23,1.908652800769833034e-21
3.162277660168379225e+04,1.204278502708419384e-23,4.817114010833677536e-23,1.204278502708419249e-21
3.981071705534969078e+04,7.598483660834889201e-24,3.039393464333955680e-23,7.598483660834888085e-22
5.011872336272735265e+04,4.794319072716486019e-24,1.917727629086594408e-23,4.794319072716486166e-22
6.309573444801942969e+04,3.025010830711941516e-24,1.210004332284776607e-23,3.025010830711941075e-22
7.943282347242820833e+04,1.908652800769833596e-24,7.634611203079334383e-24,1.908652800769833552e-22
1.000000000000000000e+05,1.204278502708419384e-24,4.817114010833677536e-24,1.204278502708419531e-22
1.258925411794166139e+05,7.598483660834886262e-25,3.039393464333954505e-24,7.598483660834887144e-23
1.584893192461117287e+05,4.794319072716487672e-25,1.917727629086595069e-24,4.794319072716487929e-23
1.995262314968883002e+05,3.025010830711941975e-25,1.210004332284776790e-24,3.025010830711942251e-23
2.511886431509582035e+05,1.908652800769833274e-25,7.634611203079333097e-25,1.908652800769833081e-23
3.162277660168379080e+05,1.204278502708419430e-25,4.817114010833677720e-25,1.204278502708419384e-23
3.981071705534985522e+05,7.598483660834824733e-26,3.039393464333929893e-25,7.598483660834824549e-24
5.011872336272735265e+05,4.794319072716486295e-26,1.917727629086594518e-25,4.794319072716486019e-24
6.309573444801942678e+05,3.025010830711942205e-26,1.210004332284776882e-25,3.025010830711942251e-24
7.943282347242821706e+05,1.908652800769833102e-26,7.634611203079332408e-26,1.908652800769832861e-24
1.000000000000000000e+06,1.204278502708419258e-26,4.817114010833677031e-26,1.204278502708419200e-24
